Saudi Arabia - squad

1994
22 players
(1)  GK  Mohamed Al-Deayea                  ##    -, Al-Ta'ee 
(21)  GK  Hussein Al-Sadiq                   ##    -, Al-Qadisiya 
(22)  GK  Ibrahim Al-Helwah                  ##    -, Al-Riyadh 
(2)  DF  Abdullah Al-Dosari                 ##    -, Al-Ittihad 
(3)  DF  Mohammed Al-Khilaiwi               ##    -, Al-Ittihad 
(4)  DF  Abdullah Zubromawi                 ##    -, Al-Ahli 
(5)  DF  Ahmad Jamil Madani                 ##    -, Al-Ittihad 
(13)  DF  Mohamed Al-Jawad                   ##    -, Al-Ahli 
(15)  DF  Saleh Al-Dawod                     ##    -, Al-Shabab 
(17)  DF  Yassir Al-Taifi                    ##    -, Al-Riyadh 
(18)  DF  Awad Al-Anazi                      ##    -, Al-Shabab 
(6)  MF  Fuad Amin                          ##    -, Al-Shabab 
(8)  MF  Fahad Al-Bishi                     ##    -, Al-Nasser 
(14)  MF  Khalid Al-Muwallid                 ##    -, Al-Ahli 
(16)  MF  Talal Jebreen                      ##    -, Al-Riyadh 
(19)  MF  Hamzah Saleh                       ##    -, Al-Ahli 
(7)  FW  Fahad Al-Ghesheyan                 ##    -, Al-Hilal 
(9)  FW  Majed Abdullah                     ##    -, Al-Nasser 
(10)  FW  Saeed Al-Owairan                   ##    -, Al-Shabab 
(11)  FW  Fahad Al-Mehallel                  ##    -, Al-Shabab 
(12)  FW  Sami Al-Jaber                      ##    -, Al-Hilal 
(20)  FW  Hamzah Idris                       ##    -, Ohud 

1998
22 players
(1)  GK  Mohamed Al-Deayea                  ##   94, Al-Ta'ee 
(21)  GK  Hussein Al-Sadiq                   ##   64, Al-Qadisiya 
(22)  GK  Tisir Al-Antaif                    ##    0, Al-Ittifaq 
(2)  DF  Mohammed Al-Jahani                 ##   64, Al-Ahli 
(3)  DF  Mohammed Al-Khilaiwi               ##   86, Al-Ittihad 
(5)  DF  Ahmad Jamil Madani                 ##   94, Al-Ittihad 
(13)  DF  Hussein Sulaimani                  ##   40, Al-Ahli 
(17)  DF  Ahmed Dokhi                        ##   12, Al-Hilal 
(19)  DF  Abdulaziz Al-Janoubi               ##    3, Al-Nasr 
(4)  MF  Abdullah Zubromawi                 ##   83, Al-Ahli 
(6)  MF  Fuad Amin                          ##   95, Al-Shabab 
(12)  MF  Ibrahim Al-Harbi                   ##   47, Al-Nasr 
(14)  MF  Khalid Al-Muwallid                 ##   91, Al-Ahli 
(15)  MF  Yousuf Al-Thunayan                 ##   86, Al-Hilal 
