France - Squads

1998
22 players
(1)  GK  Bernard Lama                       ##   37, Paris Saint Germain 
(16)  GK  Fabien Barthez                     ##   12, AS Monaco 
(22)  GK  Lionel Charbonnier                 ##    1, Auxerre 
 (2)  DF  Vincent Candela                    ##   10, Roma 
 (3)  DF  Bixente Lizarazu                   ##   32, Bayern Munich 
 (5)  DF  Laurent Blanc                      ##   68, Marseille 
 (8)  DF  Marcel Desailly                    ##   41, Milan 
(15)  DF  Lilian Thuram                      ##   32, Parma 
(18)  DF  Frank Lebœuf                       ##   13, Chelsea 
 (4)  MF  Patrick Vieira                     ##    7, Arsenal 
 (7)  MF  Didier Deschamps                   ##   69, Juventus 
(10)  MF  Zinedine Zidane                    ##   33, Juventus 
(11)  MF  Robert Pirès                       ##   13, Metz 
(13)  MF  Bernard Diomède                    ##    6, Auxerre 
(14)  MF  Alain Boghossian                   ##    6, Sampdoria 
(17)  MF  Emmanuel Petit                     ##   17, Arsenal 
(19)  MF  Christian Karembeu                 ##   31, Real Madrid 
 (6)  FW  Youri Djorkaeff                    ##   37, Internazionale 
 (9)  FW  Stéphane Guivarc'h                 ##    6, Auxerre 
(12)  FW  Thierry Henry                      ##    3, AS Monaco 
(20)  FW  David Trezeguet                    ##    4, AS Monaco 
(21)  FW  Christophe Dugarry                 ##   23, Marseille 

2002
23 players
 (1)  GK  Ulrich Ramé                        ##   11, Bordeaux 
(16)  GK  Fabien Barthez                     ##   47, Manchester United 
(23)  GK  Grégory Coupet                     ##    1, Lyon 
 (2)  DF  Vincent Candela                    ##   36, Roma 
 (3)  DF  Bixente Lizarazu                   ##   74, Bayern Munich 
 (5)  DF  Philippe Christanval               ##    4, Barcelona 
 (8)  DF  Marcel Desailly                    ##   93, Chelsea 
(13)  DF  Mikaël Silvestre                   ##   10, Manchester United 
(15)  DF  Lilian Thuram                      ##   73, Juventus 
(18)  DF  Frank Leboeuf                      ##   47, Marseille 
(19)  DF  Willy Sagnol                       ##    9, Bayern Munich 
(4)  MF  Patrick Vieira                     ##   52, Arsenal 
(6)  MF  Youri Djorkaeff                    ##   79, Bolton Wanderers 
(7)  MF  Claude Makélélé                    ##   14, Real Madrid 
(10)  MF  Zinedine Zidane                    ##   73, Real Madrid 
(14)  MF  Alain Boghossian                   ##   26, Parma 
(17)  MF  Emmanuel Petit                     ##   57, Chelsea 
(22)  MF  Johan Micoud                       ##   14, Parma 
(9)  FW  Djibril Cissé                      ##    1, Auxerre 
(11)  FW  Sylvain Wiltord                    ##   38, Arsenal 
(12)  FW  Thierry Henry                      ##   35, Arsenal 
(20)  FW  David Trezeguet                    ##   36, Juventus 
(21)  FW  Christophe Dugarry                 ##   51, Bordeaux 

2006
23 players
(1)  GK  Mickaël Landreau                   ##    3, Nantes (FRA)
(16)  GK  Fabien Barthez                     ##   80, Marseille (FRA)
(23)  GK  Grégory Coupet                     ##   18, Lyon (FRA)
