Japan - Squads

1998
22 players
 (1)  GK  Nobuyuki Kojima                    ##    5, Bellmare Hiratsuka 
(20)  GK  Yoshikatsu Kawaguchi               ##   27, Yokohama Marinos 
(21)  GK  Seigo Narazaki                     ##    2, Yokohama Marinos 
 (2)  DF  Akira Narahashi                    ##   29, Kashima Antlers 
 (3)  DF  Naoki Soma                         ##   50, Kashima Antlers 
 (4)  DF  Masami Ihara                       ##  116, Yokohama Marinos 
 (5)  DF  Norio Omura                        ##   31, Yokohama Marinos 
(16)  DF  Toshihide Saito                    ##   14, Shimizu S-Pulse 
(17)  DF  Yutaka Akita                       ##   27, Kashima Antlers 
(19)  DF  Eisuke Nakanishi                   ##    7, JEF United Ichihara 
 (6)  MF  Motohiro Yamaguchi                 ##   56, Yokohama Marinos 
 (7)  MF  Teruyoshi Ito                      ##    2, Shimizu S-Pulse 
 (8)  MF  Hidetoshi Nakata                   ##   21, Bellmare Hiratsuka 
(10)  MF  Hiroshi Nanami                     ##   44, Jubilo Iwata 
(11)  MF  Shinji Ono                         ##    2, Urawa Red Diamonds 
(13)  MF  Toshihiro Hattori                  ##    6, Jubilo Iwata 
(15)  MF  Hiroaki Morishima                  ##   36, Cerezo Osaka 
(22)  MF  Takashi Hirano                     ##   10, Nagoya Grampus Eight 
 (9)  FW  Masashi Nakayama                   ##   27, Jubilo Iwata 
(12)  FW  Wagner Lopes                       ##   10, Bellmare Hiratsuka 
(14)  FW  Masayuki Okano                     ##   25, Urawa Red Diamonds 
(18)  FW  Shoji Jo                           ##   24, Yokohama Marinos 

2002
23 players
 (1)  GK  Yoshikatsu Kawaguchi               ##   43, Portsmouth 
(12)  GK  Seigo Narazaki                     ##   15, Nagoya Grampus Eight 
(23)  GK  Hitoshi Sogahata                   ##    1, Kashima Antlers 
 (2)  DF  Yutaka Akita                       ##   38, Kashima Antlers 
 (3)  DF  Naoki Matsuda                      ##   24, Yokohama F. Marinos 
 (4)  DF  Ryuzo Morioka                      ##   32, Shimizu S-Pulse 
 (6)  DF  Toshihiro Hattori                  ##   35, Jubilo Iwata 
(16)  DF  Koji Nakata                        ##   20, Kashima Antlers 
(17)  DF  Tsuneyasu Miyamoto                 ##    5, Gamba Osaka 
 (5)  MF  Junichi Inamoto                    ##   22, Arsenal 
 (7)  MF  Hidetoshi Nakata                   ##   39, Parma 
 (8)  MF  Hiroaki Morishima                  ##   57, Cerezo Osaka 
(14)  MF  Alessandro dos Santos              ##    0, Shimizu S-Pulse 
(15)  MF  Takashi Fukunishi                  ##    5, Jubilo Iwata 
(18)  MF  Shinji Ono                         ##   21, Feyenoord 
(19)  MF  Mitsuo Ogasawara                   ##    0, Kashima Antlers 
(20)  MF  Tomokazu Myojin                    ##   16, Kashiwa Reysol 
(21)  MF  Kazuyuki Toda                      ##   10, Shimizu S-Pulse 
(22)  MF  Daisuke Ichikawa                   ##    1, Shimizu S-Pulse 
 (9)  FW  Akinori Nishizawa                  ##   24, Cerezo Osaka 
(10)  FW  Masashi Nakayama                   ##   47, Jubilo Iwata 
(11)  FW  Takayuki Suzuki                    ##   10, Kashima Antlers 
(13)  FW  Atsushi Yanagisawa                 ##   22, Kashima Antlers 



2006
23 players
 (1)  GK  Seigo Narazaki                     ##   50, Nagoya Grampus Eight (JPN)
(12)  GK  Yoichi Doi                         ##    4, FC Tokyo (JPN)
(23)  GK  Yoshikatsu Kawaguchi               ##   89, Júbilo Iwata (JPN)
 (2)  DF  Teruyuki Moniwa                    ##    8, FC Tokyo (JPN)
 (3)  DF  Yuichi Komano                      ##    8, Sanfrecce Hiroshima (JPN)
 (5)  DF  Tsuneyasu Miyamoto                 ##   69, Gamba Osaka (JPN)
 (6)  DF  Koji Nakata                        ##   55, Basel (SUI)
(14)  DF  Alex                               ##   72, Urawa Red Diamonds (JPN)
(19)  DF  Keisuke Tsuboi                     ##   33, Urawa Red Diamonds (JPN)
(21)  DF  Akira Kaji                         ##   43, Gamba Osaka (JPN)
(22)  DF  Yuji Nakazawa                      ##   50, Yokohama F. Marinos (JPN)
 (4)  MF  Yasuhito Endo                      ##   40, Gamba Osaka (JPN)
 (7)  MF  Hidetoshi Nakata                   ##   74, Fiorentina (ITA)
 (8)  MF  Mitsuo Ogasawara                   ##   51, Kashima Antlers (JPN)
(10)  MF  Shunsuke Nakamura                  ##   60, Celtic (SCO)
(15)  MF  Takashi Fukunishi                  ##   62, Júbilo Iwata (JPN)
(17)  MF  Junichi Inamoto                    ##   63, West Bromwich Albion (ENG)
(18)  MF  Shinji Ono                         ##   54, Urawa Red Diamonds (JPN)
 (9)  FW  Naohiro Takahara                   ##   41, Hamburg (GER)
(11)  FW  Seiichiro Maki                     ##   10, JEF United (JPN)
(13)  FW  Atsushi Yanagisawa                 ##   56, Kashima Antlers (JPN)
(16)  FW  Masashi Oguro                      ##   18, Grenoble (FRA)
(20)  FW  Keiji Tamada                       ##   39, Nagoya Grampus Eight (JPN)

2010
23 players
 (1)  GK  Seigo Narazaki                     ##   76, Nagoya Grampus (JPN)
(21)  GK  Eiji Kawashima                     ##   10, Kawasaki Frontale (JPN)
(23)  GK  Yoshikatsu Kawaguchi               ##  116, Júbilo Iwata (JPN)
 (3)  DF  Yuichi Komano                      ##   53, Júbilo Iwata (JPN)
