Germany - squad

1994
22 players
 (1)  GK  Bodo Illgner                       ##    -, 1. FC Köln 
(12)  GK  Andreas Köpke                      ##    -, 1. FC Nürnberg 
(22)  GK  Oliver Kahn                        ##    -, Karlsruher SC 
 (3)  DF  Andreas Brehme                     ##    -, 1. FC Kaiserslautern 
 (4)  DF  Jürgen Kohler                      ##    -, Juventus 
 (5)  DF  Thomas Helmer                      ##    -, Bayern München 
 (6)  DF  Guido Buchwald                     ##    -, VfB Stuttgart 
(14)  DF  Thomas Berthold                    ##    -, VfB Stuttgart 
 (2)  MF  Thomas Strunz                      ##    -, VfB Stuttgart 
 (7)  MF  Andreas Möller                     ##    -, Juventus 
 (8)  MF  Thomas Häßler                      ##    -, Roma 
(10)  MF  Lothar Matthäus                    ##    -, Bayern München 
(15)  MF  Maurizio Gaudino                   ##    -, Eintracht Frankfurt 
(16)  MF  Matthias Sammer                    ##    -, Borussia Dortmund 
(17)  MF  Martin Wagner                      ##    -, 1. FC Kaiserslautern 
(20)  MF  Stefan Effenberg                   ##    -, Fiorentina 
(21)  MF  Mario Basler                       ##    -, Werder Bremen 
 (9)  FW  Karl-Heinz Riedle                  ##    -, Borussia Dortmund 
(11)  FW  Stefan Kuntz                       ##    -, 1. FC Kaiserslautern 
(13)  FW  Rudi Völler                        ##    -, Marseille 
(18)  FW  Jürgen Klinsmann                   ##    -, AS Monaco 
(19)  FW  Ulf Kirsten                        ##    -, Bayer Leverkusen

1998
22 players
(1)  GK  Andreas Köpke                      ##   54, Marseille 
(12)  GK  Oliver Kahn                        ##   10, Bayern Munich 
(22)  GK  Jens Lehmann                       ##    2, Schalke 04 
(2)  DF  Christian Wörns                    ##   17, Bayer Leverkusen 
(3)  DF  Jörg Heinrich                      ##   15, Borussia Dortmund 
(4)  DF  Jürgen Kohler                      ##  101, Borussia Dortmund 
(5)  DF  Thomas Helmer                      ##   66, Bayern Munich 
(6)  DF  Olaf Thon                          ##   48, Schalke 04 
(8)  DF  Lothar Matthäus                    ##  125, Bayern Munich 
(14)  DF  Markus Babbel                      ##   30, Bayern Munich 
(17)  DF  Christian Ziege                    ##   37, Milan 
(19)  DF  Stefan Reuter                      ##   68, Borussia Dortmund 
(21)  DF  Michael Tarnat                     ##   12, Bayern Munich 
(7)  MF  Andreas Möller                     ##   79, Borussia Dortmund 
(10)  MF  Thomas Häßler                      ##   93, Karlsruher SC 
(13)  MF  Jens Jeremies                      ##    5, 1860 Munich 
(15)  MF  Steffen Freund                     ##   21, Borussia Dortmund 
(16)  MF  Dietmar Hamann                     ##    7, Bayern Munich 
(9)  FW  Ulf Kirsten                        ##   32, Bayer Leverkusen 
(11)  FW  Olaf Marschall                     ##    7, 1. FC Kaiserslautern 
(18)  FW  Jürgen Klinsmann                   ##  103, Tottenham Hotspur 
(20)  FW  Oliver Bierhoff                    ##   26, Udinese 

2002
23 players
(1)  GK  Oliver Kahn                        ##   45, Bayern Munich 
(12)  GK  Jens Lehmann                       ##   14, Borussia Dortmund 
(23)  GK  Hans-Jörg Butt                     ##    2, Bayer Leverkusen 
(2)  DF  Thomas Linke                       ##   34, Bayern Munich 
(3)  DF  Marko Rehmer                       ##   27, Hertha BSC 
(4)  DF  Frank Baumann                      ##   11, Werder Bremen 
(6)  DF  Christian Ziege                    ##   66, Tottenham Hotspur 
(15)  DF  Sebastian Kehl                     ##    8, Borussia Dortmund 
(21)  DF  Christoph Metzelder                ##    6, Borussia Dortmund 
(5)  MF  Carsten Ramelow                    ##   25, Bayer Leverkusen 
(8)  MF  Dietmar Hamann                     ##   40, Liverpool 
(10)  MF  Lars Ricken                        ##   16, Borussia Dortmund 
(13)  MF  Michael Ballack                    ##   22, Bayer Leverkusen 
(16)  MF  Jens Jeremies                      ##   33, Bayern Munich 
(17)  MF  Marco Bode                         ##   34, Werder Bremen 
